Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Peter Amoran,Parma,2022,17,Östersund,se SWE,2. Superettan,14th,13,9,865,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Peter Amoran,Parma,2023-2024,19,Parma,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,Matches
Peter Amoran,Parma,,,,,,,,,,,,,,,,,,,,,,,,
Peter Amoran,Parma,2025-2026,21,Parma,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,Matches
Peter Amoran,Parma,3 Seasons,3 Seasons,2 Clubs,,3 Leagues,,13,9,865,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,
Peter Amoran,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Peter Amoran,Parma,Parma (2 Seasons),Parma (2 Seasons),Parma (2 Seasons),,2 Leagues,,0,0,,,,,,,,,,,,,,,,
Peter Amoran,Parma,Östersund (1 Season),Östersund (1 Season),Östersund (1 Season),,1 League,,13,9,865,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,
Peter Amoran,Parma,,,,,,,,,,,,,,,,,,,,,,,,
Peter Amoran,Parma,Superettan (1 Season),Superettan (1 Season),Superettan (1 Season),,,,13,9,865,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,
Peter Amoran,Parma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
Peter Amoran,Parma,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,0,0,,,,,,,,,,,,,,,,
