Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Zachary Athekame,Milan,2024-2025,19,Young Boys,ch SUI,1. Super Lg,3rd,30,18,1766,19.6,0,2,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,Matches
Zachary Athekame,Milan,2025-2026,20,Young Boys,ch SUI,1. Super Lg,6th,4,2,212,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Zachary Athekame,Milan,2025-2026,20,Milan,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,Matches
Zachary Athekame,Milan,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,34,20,1978,22.0,0,2,2,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,
Zachary Athekame,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Zachary Athekame,Milan,Young Boys (2 Seasons),Young Boys (2 Seasons),Young Boys (2 Seasons),,1 League,,34,20,1978,22.0,0,2,2,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,
Zachary Athekame,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Zachary Athekame,Milan,,,,,,,,,,,,,,,,,,,,,,,,
Zachary Athekame,Milan,Super Lg (2 Seasons),Super Lg (2 Seasons),Super Lg (2 Seasons),,,,34,20,1978,22.0,0,2,2,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,
Zachary Athekame,Milan,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
